dt,open,high,low,close,volume,sentiment_score
2024-08-29,19.76,20.6,19.75,20.13,64529661.0,0.050841666666666674
2024-08-30,21.25,22.12,21.0,22.04,177785378.0,0.09119315384615384
2024-09-03,21.54,21.69,19.99,20.1,115305533.0,-0.03397206666666666
2024-09-04,19.76,20.045,19.28,19.43,85370503.0,0.03267671428571429
2024-09-05,19.28,19.9,19.24,19.4,65388789.0,0.091301875
2024-09-06,19.44,19.49,18.64,18.89,92686460.0,0.0822958
2024-09-09,19.0,19.54,18.95,19.07,64244126.0,0.13682885714285714
2024-09-10,19.03,19.11,18.51,18.98,55621273.0,0.08427280000000001
2024-09-11,19.01,19.69,18.52,19.64,71403141.0,0.05284874999999999
2024-09-12,19.43,19.54,19.04,19.36,51602918.0,0.18185366666666666
2024-09-13,19.49,19.8,19.49,19.66,44236271.0,0.270447
2024-09-16,20.03,21.0699,19.76,20.91,149337028.0,0.23582
2024-09-17,21.71,22.58,21.24,21.47,196249783.0,0.3222238947368421
2024-09-18,21.36,21.74,20.715,20.77,118727940.0,0.14894922222222223
2024-09-19,21.28,21.69,21.03,21.14,99829168.0,0.06634871428571429
2024-09-20,20.89,23.14,20.35,21.84,260377912.0,0.03159442857142857
2024-09-23,22.43,22.82,22.03,22.56,184439134.0,0.1112410625
2024-09-24,22.53,23.105,22.285,22.81,113082534.0,0.20840960000000003
2024-09-25,22.8,24.055,22.73,23.54,117013357.0,0.159574
2024-09-26,24.28,24.42,23.25,23.92,95416939.0,0.33090128571428573
2024-09-27,24.16,24.66,23.7034,23.91,85883278.0,0.10631977777777778
2024-09-30,23.74,23.95,23.09,23.46,66460225.0,0.10517599999999998
2024-10-01,23.46,23.72,22.255,22.69,86344357.0,0.15671683333333333
2024-10-02,22.67,23.0668,22.35,22.39,59033896.0,0.11820566666666667
2024-10-03,22.14,22.73,21.65,22.26,49565931.0,0.18498275
2024-10-04,22.7,22.91,22.3,22.59,49966930.0,0.099482
2024-10-07,22.4,22.65,22.0209,22.38,54928674.0,0.14712514285714287
2024-10-08,22.25,23.42,22.045,23.32,58650461.0,-0.0319525
2024-10-09,23.25,23.48,23.06,23.46,44759018.0,0.17806533333333333
2024-10-10,23.19,23.53,22.96,23.22,44874580.0,0.050505749999999995
2024-10-11,23.05,23.82,22.98,23.56,43585252.0,0.14111875000000002
2024-10-14,23.58,23.77,23.2701,23.44,35403646.0,0.122085
2024-10-15,23.41,23.72,22.47,22.66,68900556.0,0.10864171428571427
2024-10-16,22.38,22.54,21.74,22.31,62151767.0,0.07223942105263158
2024-10-17,22.72,22.82,22.4,22.44,43807577.0,0.0758194
2024-10-18,22.61,22.82,22.5,22.77,39971695.0,0.073735
2024-10-21,22.61,22.88,22.25,22.84,39726985.0,0.061256
2024-10-22,22.73,22.82,22.17,22.4,50160378.0,0.11632660000000002
2024-10-23,22.3,22.425,21.575,21.98,45799051.0,-0.052997999999999997
2024-10-24,22.09,22.365,21.97,22.34,40554417.0,0.041118749999999996
2024-10-25,22.42,23.3399,22.41,22.68,67502984.0,0.2279258
2024-10-28,22.67,23.27,22.56,22.92,41914966.0,0.1535452857142857
2024-10-29,22.87,23.14,22.41,22.9,83422242.0,0.16925628571428572
2024-10-30,22.415,22.93,22.26,22.3,50941231.0,0.053292
2024-10-31,22.15,22.25,21.47,21.52,112485547.0,0.1588487142857143
2024-11-01,23.0,23.58,21.91,23.2,173471115.0,0.2068972142857143
2024-11-04,22.96,23.0,22.0,22.52,84616300.0,0.025877833333333333
2024-11-05,22.58,23.58,22.4,23.32,59153326.0,0.1199412
2024-11-06,24.3,25.12,24.05,25.05,116760537.0,0.095283
2024-11-07,25.43,26.3799,25.19,26.23,101489302.0,0.12275371428571429
2024-11-08,26.0,26.43,25.83,26.2,76427983.0,0.115453
2024-11-11,25.96,26.2863,24.83,25.05,80185321.0,0.1310335
2024-11-12,24.66,24.96,23.89,24.16,62539733.0,-0.045548666666666654
2024-11-13,24.06,25.14,24.02,24.92,58201972.0,0.18429020000000002
2024-11-14,25.12,25.61,24.9346,25.03,49252121.0,0.16883516666666668
2024-11-15,24.81,24.82,24.23,24.35,55104875.0,0.153337
2024-11-18,24.33,25.02,24.16,24.84,59667333.0,0.057582999999999995
2024-11-19,24.5,24.54,24.095,24.2,61190859.0,0.16088066666666667
2024-11-20,24.07,24.21,23.55,24.01,50191510.0,0.1264536
2024-11-21,24.08,24.77,23.83,24.44,58928410.0,0.009369750000000007
2024-11-22,24.35,24.68,24.14,24.5,36784715.0,0.16231516666666665
2024-11-25,25.04,25.565,24.76,24.87,91128387.0,0.23314275
2024-11-26,24.95,24.985,23.81,24.05,69613557.0,0.09495057142857144
2024-11-27,23.83,23.93,23.06,23.65,53992319.0,0.0745248
2024-11-29,23.72,24.28,23.6,24.05,36616750.0,0.040031000000000004
2024-12-02,24.84,25.48,23.44,23.93,150497884.0,0.18116669999999999
2024-12-03,23.68,23.75,22.44,22.47,138160493.0,0.021475
2024-12-04,22.53,22.54,21.81,21.96,104648976.0,0.081043
2024-12-05,22.04,22.19,20.66,20.8,167993483.0,0.11990757142857143
2024-12-06,20.95,21.05,20.66,20.92,78539132.0,0.1956965
2024-12-09,20.92,21.06,20.73,20.81,68818217.0,-0.0945175
2024-12-10,20.83,20.86,19.96,20.16,90004833.0,0.01996033333333334
2024-12-11,20.14,20.25,19.87,20.12,75209342.0,0.09276
2024-12-12,20.02,20.9,19.92,20.78,77695010.0,0.23898175
2024-12-13,20.6,20.8,20.25,20.34,55104079.0,0.06664375
2024-12-16,20.17,21.1,20.0,20.83,73832891.0,0.062526
2024-12-17,20.64,20.77,20.2925,20.44,51767153.0,0.12608919999999998
2024-12-18,20.48,20.58,19.21,19.3,86041243.0,0.098431
2024-12-19,19.53,19.69,19.03,19.06,69117805.0,0.18213059999999998
2024-12-20,18.97,19.76,18.9,19.52,108453667.0,0.11898449999999999
2024-12-23,19.58,20.23,19.52,20.2,57988375.0,-0.021636333333333323
2024-12-24,20.22,20.4,19.96,20.4,29884026.0,0.208672
2024-12-27,20.21,20.605,20.09,20.3,48260830.0,0.068237
2024-12-30,20.01,20.115,19.73,19.82,59608126.0,0.118493
2024-12-31,19.99,20.4,19.88,20.05,49846656.0,0.078923
